Date,Domestic Visitors,Foreign Visitors,kerala flights: (Worldwide),kerala buses: (Worldwide),buses to kerala: (Worldwide),cars to kerala: (Worldwide),trains to kerala: (Worldwide),kerala trains: (Worldwide),kerala cars: (Worldwide),kerala bus booking: (Worldwide),kerala bus timings: (Worldwide),kerala train booking: (Worldwide),kerala train timings: (Worldwide),kerala flight booking: (Worldwide),flights in kerala: (Worldwide),kerala airport: (Worldwide),flights near kerala: (Worldwide),Total Transport,temperature_2m (Ã‚Â°C),relativehumidity_2m (%),rain (mm),snowfall (cm),windspeed_10m (km/h),rain (mm)_sum,snowfall (cm)_sum
08-11-2015,275773,2453.274894,41,34,46,0,56,66,0,29,29,42,52,0,14,51,0,460,26.24,88.46,0.69,0,5.51,115.6,0
15-11-2015,275593,2486.175317,56,34,22,0,67,77,23,39,39,0,37,0,58,57,0,509,26.14,87.88,0.19,0,5.22,32.35,0
22-11-2015,366588,2440.114725,58,32,20,0,78,87,0,41,41,0,39,0,39,45,0,480,26.73,86.59,0.25,0,5.5,41.3,0
06-12-2015,304495,2653.095065,74,76,59,0,81,89,43,37,37,16,42,65,31,58,20,728,26.46,87.79,0.43,0,4.53,72.85,0
13-12-2015,304587,2638.813394,58,58,39,0,78,84,26,51,51,22,46,48,37,67,40,705,26.56,88.43,0.35,0,4.21,59.6,0
20-12-2015,304633,2595.968381,81,100,100,35,94,87,45,88,88,54,50,37,45,54,0,958,26.6,85.74,0.2,0,4.6,33.45,0
27-12-2015,405135,2709.12316,79,49,46,56,72,73,30,43,43,31,49,24,74,75,13,757,26.7,78.18,0,0,5.81,0,0
03-01-2016,248814,2948.184942,78,50,36,0,52,64,0,46,46,16,38,37,43,62,0,568,26.81,74.49,0,0,7.15,0,0
10-01-2016,248819,2901.68019,73,45,21,0,47,45,0,43,43,0,15,0,51,52,0,435,27.09,73.74,0,0,6.26,0,0
17-01-2016,248754,3050.927997,36,41,22,0,36,40,43,22,22,18,32,18,10,45,0,385,26.96,72.7,0,0,6.37,0.65,0
24-01-2016,330844,2935.206871,58,39,16,0,34,51,0,36,36,0,28,23,36,40,0,397,27.82,76.12,0.02,0,6.32,2.7,0
07-02-2016,232321,2382.735562,61,35,40,0,45,36,0,24,24,0,21,0,49,41,0,376,27.09,68.37,0,0,6.74,0,0
14-02-2016,232453,2445.155916,70,28,0,0,32,34,34,48,48,39,0,0,22,55,0,410,27.82,78.73,0.04,0,5.62,6.35,0
21-02-2016,232351,2384.887988,47,25,33,0,41,46,33,15,15,0,31,30,29,45,0,390,28.97,72.1,0.01,0,6.66,2.05,0
28-02-2016,308986,2347.220534,53,38,29,0,35,46,34,24,24,11,29,38,11,62,0,434,28.98,72.65,0.01,0,6.98,1.8,0
06-03-2016,221921,4063.212334,69,27,0,0,43,43,18,40,40,18,40,100,40,48,0,526,29.15,70.68,0,0,7.05,0.5,0
13-03-2016,221844,3996.476752,44,0,10,0,44,50,46,27,27,50,37,36,0,49,0,420,29.23,76.34,0.03,0,6.05,5.25,0
20-03-2016,221724,3890.356236,50,33,31,0,55,56,18,22,22,20,58,18,20,54,0,457,29.62,75.85,0.03,0,7.63,4.5,0
27-03-2016,294978,3908.954677,62,38,24,25,68,68,0,36,36,42,24,17,47,67,0,554,29.5,77.87,0.04,0,6.15,7.55,0
03-04-2016,233895,4107.839546,55,39,18,0,45,71,83,28,28,17,29,27,32,62,0,534,29.52,76.82,0.06,0,5.33,9.85,0
10-04-2016,233995,4109.986314,48,39,42,63,77,48,0,41,41,0,29,0,28,47,0,503,29.49,78.11,0.09,0,6.69,15.4,0
17-04-2016,233891,4136.820907,45,35,68,0,40,41,15,37,37,0,22,32,22,50,0,444,29.95,78.4,0.08,0,7.37,14.1,0
24-04-2016,311063,4115.353233,50,44,22,0,52,60,28,25,25,29,53,0,27,44,34,493,29.87,77.46,0.06,0,8.97,10.75,0
01-05-2016,278584,4287.955826,63,54,46,45,44,46,26,36,36,0,57,34,12,47,36,582,30.17,76.62,0.05,0,6.83,7.9,0
08-05-2016,278605,4299.82784,40,68,41,0,41,57,0,42,42,0,40,0,23,42,0,436,29.68,78.05,0.16,0,7.41,26.1,0
15-05-2016,278671,4317.096225,52,32,11,0,57,61,14,35,35,0,37,0,35,76,0,445,27.89,86.27,0.46,0,5.98,76.7,0
22-05-2016,370490,4222.120108,72,18,21,0,51,49,24,24,24,10,45,39,78,72,11,538,27.16,89.63,0.58,0,9.22,98.05,0
05-06-2016,205895,3757.81103,24,32,0,0,60,50,0,43,43,12,29,0,46,62,0,401,26.62,89.73,0.76,0,8.6,126.85,0
12-06-2016,205925,3782.826849,64,31,24,0,49,57,39,37,37,0,18,0,20,61,0,437,26.17,91.69,0.93,0,11.23,156.25,0
19-06-2016,205892,3820.894399,68,32,24,0,39,46,38,48,48,0,38,0,53,40,0,474,26.19,89.88,0.55,0,12.95,91.6,0
26-06-2016,273902,3902.467721,66,37,30,0,40,22,30,25,25,30,23,0,33,47,0,408,25.46,89.66,0.56,0,13.88,93.5,0
03-07-2016,211025,4075.241407,38,78,59,0,63,67,22,46,46,11,55,32,28,70,0,615,26.4,89.12,0.41,0,12.99,69.5,0
10-07-2016,211090,3981.446168,72,19,0,54,46,55,59,43,43,33,26,22,14,76,0,562,26.03,89.58,0.44,0,13.16,74.75,0
17-07-2016,211038,3971.743213,57,57,0,0,50,39,36,16,16,21,47,52,34,54,26,505,25.7,88.77,0.36,0,12.11,60.15,0
24-07-2016,280733,4093.569212,62,32,0,0,54,49,24,24,24,38,24,40,55,61,0,487,25.65,87.62,0.41,0,14.15,68.7,0
07-08-2016,240956,3690.681848,74,66,52,0,70,55,38,100,100,18,0,73,31,60,0,737,26.3,87.58,0.17,0,13.3,28.95,0
14-08-2016,240879,3601.060259,59,50,0,31,45,64,21,59,59,25,39,21,11,63,0,547,26.32,86.47,0.19,0,13.49,31.75,0
21-08-2016,240911,3711.197634,60,33,0,24,43,39,0,34,34,0,24,0,0,71,0,362,26.08,87.8,0.15,0,14.28,25.7,0
28-08-2016,320616,3601.060259,61,22,44,0,89,95,81,69,69,24,100,58,61,52,0,825,25.77,89.11,0.28,0,11.99,47,0
04-09-2016,260893,3814.588264,78,42,30,50,63,81,28,54,54,18,46,0,54,76,0,674,25.35,90.42,0.47,0,10.37,78.35,0
11-09-2016,260810,3870.260055,65,44,49,0,65,61,36,70,70,32,47,0,17,61,0,617,25.79,87.45,0.09,0,11.38,15.45,0
18-09-2016,260825,3735.363024,59,45,33,0,40,55,26,56,56,31,63,49,71,73,0,657,25.93,88.31,0.28,0,12.53,47.65,0
25-09-2016,346732,3832.788657,74,54,43,23,29,50,54,46,46,0,36,0,46,56,0,557,26.01,87.32,0.16,0,14.73,27.25,0
02-10-2016,308760,3394.715534,49,0,21,0,64,75,29,64,64,28,70,31,27,54,0,576,25.9,87.58,0.16,0,10.82,27.6,0
09-10-2016,308742,3425.073897,52,27,32,39,40,49,91,29,29,31,46,26,57,60,13,621,26.29,83.83,0.05,0,10.41,7.9,0
16-10-2016,308824,3396.883989,66,0,26,0,51,58,0,25,25,23,60,0,36,70,0,440,26.42,86,0.32,0,7.48,53.25,0
23-10-2016,410865,3428.326579,72,15,21,0,47,65,0,63,63,0,31,18,19,47,0,461,26.38,86.49,0.21,0,7.03,35.5,0
06-11-2016,274287,2477.869516,61,47,0,0,48,50,0,32,32,0,33,48,38,55,25,469,26.11,88.31,0.36,0,5.22,61.25,0
13-11-2016,274313,2428.92126,67,26,19,0,36,37,0,33,33,22,71,56,45,61,0,506,26.67,84.36,0.05,0,4.31,9.15,0
20-11-2016,274248,2368.007874,71,37,47,0,55,61,34,32,32,23,24,34,28,59,0,537,26.56,85.98,0.08,0,4.62,13.6,0
27-11-2016,364772,2395.20135,65,35,11,0,53,54,35,32,32,0,80,33,50,62,0,542,26.79,83.85,0.01,0,5.36,1.1,0
04-12-2016,324809,2454.0404,86,40,10,0,46,44,17,35,35,28,47,0,45,60,14,507,26.04,82.36,0.05,0,6.14,8.1,0
11-12-2016,324815,2555.706243,63,40,43,0,54,59,19,63,63,26,46,0,33,49,0,558,26.45,82.4,0.05,0,6.92,8.8,0
18-12-2016,324853,2500.547115,59,72,47,0,71,79,19,78,78,59,45,24,53,54,0,738,26.43,79.51,0.02,0,6.84,2.7,0
25-12-2016,432122,2555.706243,62,49,58,0,53,55,0,52,52,34,66,24,43,84,0,632,26.92,80.09,0,0,5.68,0.5,0
01-01-2017,282145,2780.225589,98,60,28,0,88,65,0,37,37,44,23,0,86,70,14,650,27.04,74.48,0,0,6.06,0,0
08-01-2017,282031,2838.421464,59,24,52,54,54,57,36,31,31,17,73,30,26,54,16,614,26.62,75.9,0.01,0,5.88,1.8,0
15-01-2017,281968,2821.950933,67,35,33,53,42,49,49,40,40,0,31,31,10,37,0,517,26.46,74.2,0.01,0,5.69,1.55,0
22-01-2017,374930,2793.402013,65,62,53,24,46,48,0,39,39,28,56,0,21,43,0,524,26.65,71.5,0.01,0,6.37,1.3,0
05-02-2017,238940,2439.227727,65,25,17,0,32,36,51,32,32,17,33,0,65,56,14,475,26.71,73.77,0,0,6.68,0.45,0
12-02-2017,238843,2276.830528,63,24,31,0,52,40,0,26,26,0,27,31,18,42,16,396,27.08,70.71,0.01,0,6.53,0.85,0
19-02-2017,238883,2289.909497,73,9,13,0,46,38,26,31,31,24,35,22,36,60,0,444,27.84,61.82,0,0,6.97,0,0
26-02-2017,317897,2255.032247,66,26,14,0,39,62,26,20,20,0,28,0,28,55,0,384,27.72,75.92,0,0,6.94,0.65,0
05-03-2017,234471,3839.688341,57,29,37,22,44,43,16,31,31,30,45,46,49,46,0,526,28.14,72.74,0.12,0,6.45,19.4,0
12-03-2017,234345,3868.908066,70,40,19,0,35,44,0,24,24,9,58,20,35,67,0,445,27.28,82.88,0.22,0,6.02,37.7,0
19-03-2017,234467,3769.344558,55,36,53,0,44,39,0,20,20,26,33,15,39,57,0,437,27.52,81.81,0.15,0,5.98,25.95,0
26-03-2017,311594,3884.059035,72,40,20,0,56,59,15,30,30,24,44,24,64,60,0,538,28.02,81.29,0.03,0,6.19,4.55,0
02-04-2017,280216,4024.219517,56,19,38,33,51,45,23,31,31,17,52,69,22,46,14,547,28.55,78.85,0.05,0,6.77,8.1,0
09-04-2017,280217,3959.504113,60,21,31,28,47,51,26,69,69,28,50,26,66,54,14,640,28.58,81.02,0.11,0,7.84,19.3,0
16-04-2017,280268,4037.162598,75,70,27,40,46,45,0,26,26,29,19,21,56,51,0,531,28.31,83.85,0.18,0,9.26,30.45,0
23-04-2017,372551,4105.113772,67,41,57,0,56,54,0,54,54,17,70,37,62,41,14,624,28.72,80.29,0.07,0,9.06,12.6,0
07-05-2017,309045,3531.865768,55,56,73,0,52,59,0,60,60,32,59,34,53,76,0,669,28.24,83.07,0.34,0,5.3,56.6,0
14-05-2017,309143,3631.998788,54,44,18,0,67,81,48,60,60,35,69,67,48,78,0,729,28.26,83.08,0.27,0,7.23,45.5,0
21-05-2017,309091,3571.048254,76,29,23,61,76,77,35,50,50,17,84,44,33,75,17,747,27.69,86.95,0.46,0,9.47,77.6,0
28-05-2017,411051,3633.08719,68,10,25,0,51,56,20,39,39,15,56,0,47,72,0,498,27.13,89.07,0.57,0,9.19,95.5,0
04-06-2017,237307,3786.829279,68,48,28,0,57,41,18,31,31,47,54,59,40,61,13,596,26.17,91.4,1.46,0,12.71,246.05,0
11-06-2017,237227,3806.42759,75,15,27,23,53,56,44,51,51,27,35,19,56,79,15,626,26.16,89.64,0.63,0,11.4,105.75,0
18-06-2017,237235,3818.404336,82,51,32,0,73,74,55,33,33,21,32,60,18,80,0,644,26.66,89.51,0.28,0,9.37,47.85,0
25-06-2017,315592,3805.338795,59,19,22,0,53,43,30,36,36,27,12,29,36,72,0,474,26.05,90.34,0.52,0,10.25,87,0
02-07-2017,250147,3701.367977,86,43,18,0,34,47,26,55,55,21,0,52,0,100,13,550,25.91,89.73,0.63,0,11.63,105.6,0
09-07-2017,250190,3544.530351,69,50,21,0,59,72,59,60,60,19,22,91,9,75,0,666,26.1,88.45,0.27,0,13.14,45.05,0
16-07-2017,250311,3526.142491,54,29,24,0,48,54,19,46,46,41,82,35,15,68,0,561,26.1,88.53,0.24,0,12.46,40.8,0
23-07-2017,332514,3589.959181,100,32,36,29,32,42,17,19,19,21,41,0,48,75,0,511,26.39,88.77,0.34,0,10.6,57.75,0
06-08-2017,262941,3072.935509,82,60,44,0,47,47,0,77,77,30,60,73,35,87,0,719,25.94,89.76,0.29,0,13.13,49.55,0
13-08-2017,262910,3116.323232,78,64,16,0,54,63,43,38,38,36,45,57,25,73,0,630,25.99,88.97,0.35,0,11.77,59.4,0
20-08-2017,262975,3173.811966,61,44,11,0,48,48,30,47,47,35,31,30,44,50,0,526,25.79,90.46,0.51,0,9.56,86.5,0
27-08-2017,349707,3200.929293,53,64,18,0,66,68,24,37,37,29,35,0,61,54,0,546,25.99,89.49,0.45,0,11.75,76.15,0
03-09-2017,274566,3331.097323,67,21,15,0,48,43,30,42,42,0,48,38,37,61,0,492,26.06,89.69,0.38,0,11.32,63.85,0
10-09-2017,274643,3275.094393,64,46,37,0,55,52,41,56,56,25,24,64,50,75,0,645,26.26,89.54,0.27,0,6.77,44.8,0
17-09-2017,274558,3230.938237,77,40,57,0,59,76,48,59,59,53,81,0,39,59,0,707,26.15,89.98,0.89,0,9.14,148.85,0
24-09-2017,365192,3397.870046,56,64,54,0,50,56,16,92,92,51,61,38,29,71,0,730,26.48,87.03,0.15,0,10.41,25.65,0
01-10-2017,318582,3268.789854,66,63,50,0,61,68,30,50,50,32,54,0,44,79,19,666,26.12,89.77,0.44,0,7.88,74.2,0
08-10-2017,318472,3268.789854,67,46,29,0,59,44,32,55,55,14,39,26,56,77,14,613,26.63,87.82,0.29,0,6.86,48.3,0
15-10-2017,318527,3195.713805,71,16,13,0,34,52,39,57,57,13,42,26,23,67,12,522,26.16,89.17,0.42,0,5.86,70.65,0
22-10-2017,423609,3231.706486,65,0,35,74,58,56,48,38,38,38,40,20,30,82,0,622,26.22,88.57,0.44,0,8.05,73.6,0
05-11-2017,323718,2508.460173,64,37,35,0,45,55,22,39,39,29,29,0,44,67,24,529,26.14,89.03,0.66,0,4.53,110.5,0
12-11-2017,323715,2478.107155,68,33,36,28,65,60,80,47,47,24,47,57,47,79,0,718,26.28,87.56,0.19,0,4.61,32,0
19-11-2017,323710,2543.149337,78,8,22,0,42,47,0,43,43,0,43,25,49,89,32,521,26.6,81.43,0.04,0,6.57,6.5,0
26-11-2017,430467,2364.283335,77,49,41,0,57,69,19,46,46,15,60,18,63,68,11,639,26.67,85.99,0.16,0,4.43,26.8,0
03-12-2017,377020,2407.838004,71,29,15,0,38,44,39,24,24,43,55,25,43,69,0,519,25.89,87.65,0.61,0,9.54,102.3,0
10-12-2017,377040,2371.371861,74,54,66,0,45,45,0,48,48,24,24,22,45,67,0,562,26.58,84.07,0.03,0,4.83,5.25,0
17-12-2017,376968,2427.14361,68,81,70,0,73,52,40,78,78,47,57,63,21,67,0,795,26.65,83.78,0.04,0,4.84,7.55,0
24-12-2017,501581,2360.646525,77,26,38,0,57,53,46,60,60,17,30,43,40,75,22,644,26.5,75.59,0,0,6.32,0.3,0
07-01-2018,328490,2463.297514,64,52,46,0,17,13,0,44,56,40,100,64,48,35,0,579,26.08,77.2,0.01,0,5.62,1.5,0
14-01-2018,328458,2453.645935,45,24,12,31,23,13,27,33,31,20,60,32,59,32,22,464,26.56,75.24,0.01,0,6.02,1.5,0
21-01-2018,328560,2513.700206,45,34,41,0,21,13,49,44,50,0,51,37,49,32,0,466,26.34,72.09,0,0,6.91,0.35,0
28-01-2018,436975,2449.356344,39,23,0,0,19,11,37,32,46,56,24,41,20,20,22,390,26.39,76.12,0.02,0,5.88,4,0
04-02-2018,283283,2065.348315,39,89,31,32,22,10,0,27,26,17,43,18,18,28,0,400,26.92,67.84,0,0,6.97,0,0
11-02-2018,283306,2098.183741,37,29,0,0,16,11,44,24,57,36,57,16,42,28,0,397,27.37,76.69,0.17,0,5.9,29.1,0
18-02-2018,283315,2030.32386,36,56,0,29,18,10,39,22,51,25,47,36,33,31,0,433,27.16,76.97,0.19,0,6.27,32.65,0
25-02-2018,376874,2086.144085,24,60,45,0,22,13,0,35,53,28,41,59,24,24,0,428,27.33,72.07,0,0,6.77,0,0
04-03-2018,283647,3388.398685,48,12,15,0,4,7,18,27,26,12,23,18,37,26,0,273,28.44,72.18,0,0,6.82,0.55,0
11-03-2018,283759,3375.469978,48,44,24,0,26,12,41,25,12,32,28,21,49,22,0,384,28.4,73.35,0,0,6.37,0.5,0
18-03-2018,283677,3451.964829,31,0,11,0,20,10,0,29,70,27,56,0,52,30,0,336,27.98,78.45,0.21,0,6.4,35.3,0
25-03-2018,377368,3385.166508,47,76,31,50,19,11,75,38,69,44,77,0,42,26,22,627,28.4,78.85,0.08,0,7.37,12.75,0
01-04-2018,339637,3488.507604,44,49,30,0,13,11,19,38,48,35,36,19,45,29,0,416,28.69,77.43,0.04,0,7.06,6.55,0
08-04-2018,339577,3603.643419,43,79,18,64,24,15,61,30,56,34,67,45,55,24,60,675,28.85,77.25,0.06,0,5.74,9.3,0
15-04-2018,339660,3650.988988,47,59,32,32,19,11,51,38,69,26,52,45,39,30,0,550,27.97,81.91,0.31,0,5.24,51.55,0
22-04-2018,451678,3620.85999,41,55,48,0,17,15,42,29,60,54,46,36,40,26,19,528,28.41,83.07,0.07,0,5.61,12,0
06-05-2018,368206,3363.100935,32,50,100,75,20,12,33,48,96,33,54,26,63,25,27,694,28.33,81.54,0.23,0,7.55,38,0
13-05-2018,368137,3479.144034,39,67,17,0,21,13,31,39,41,34,40,30,48,29,34,483,27.04,87.35,0.46,0,5.75,77.6,0
20-05-2018,368234,3321.196482,57,36,25,33,33,15,35,37,60,32,37,48,71,27,25,571,27.11,86.87,0.46,0,5.83,77.6,0
27-05-2018,489755,3398.558549,33,25,28,0,18,13,34,28,46,22,27,47,22,24,0,367,26.48,89.68,1.15,0,8.27,193.4,0
03-06-2018,250384,3659.630336,28,48,32,62,13,9,17,22,54,26,39,48,35,34,0,467,26.81,88.67,0.7,0,10.85,117.85,0
10-06-2018,250384,3635.054716,30,64,50,0,14,12,0,37,40,28,52,45,20,30,19,441,26.31,91.26,0.8,0,13.1,134.75,0
17-06-2018,250323,3669.246883,39,63,0,0,13,8,0,5,58,0,15,58,41,22,0,322,26.02,91.21,0.64,0,11.96,106.75,0
24-06-2018,333147,3604.068065,31,25,34,55,8,8,40,26,39,31,46,0,24,19,65,451,25.59,90.81,0.64,0,10.78,107.6,0
01-07-2018,271805,3087.577598,45,71,28,0,17,13,24,39,78,30,28,0,26,33,54,486,25.65,89.68,0.61,0,10.52,103.3,0
08-07-2018,271776,3000.791633,43,59,41,0,18,13,0,32,52,15,50,22,52,30,0,427,26.14,87.42,0.3,0,13.07,49.8,0
15-07-2018,271830,3143.209627,39,18,0,0,21,21,18,32,46,46,32,0,34,36,0,343,25.13,92.1,0.65,0,14.81,110,0
22-07-2018,361583,3135.421143,52,74,32,0,23,16,20,52,27,16,27,99,51,34,0,523,25.52,90.6,0.59,0,13.8,98.75,0
05-08-2018,229935,3826.751782,48,29,0,46,22,20,0,59,42,33,51,0,71,39,0,460,25.57,89.92,0.18,0,10.66,30.15,0
12-08-2018,229978,3784.316945,100,87,63,0,100,100,17,54,64,41,98,84,86,90,0,984,25.03,91.88,0.47,0,12.77,79.05,0
19-08-2018,229950,3652.660145,57,71,74,30,63,55,0,64,61,61,68,37,60,51,0,752,24.91,92.43,1.54,0,16.45,258.2,0
26-08-2018,305714,3697.271127,29,50,26,52,14,10,0,40,59,44,24,0,31,24,0,403,25.91,86.07,0.1,0,13.45,16.15,0
02-09-2018,258518,3486.514988,27,20,13,0,16,11,42,37,47,24,0,52,61,19,0,369,25.58,87.86,0.18,0,11.67,30.4,0
09-09-2018,258468,3538.126391,24,43,18,0,13,11,17,28,61,10,57,0,21,19,0,322,26.23,83.05,0.03,0,11.57,4.8,0
16-09-2018,258517,3591.934023,30,29,25,0,12,9,16,41,40,33,33,27,40,18,22,375,26.61,81.02,0.05,0,10.19,9.05,0
23-09-2018,343942,3597.424598,32,68,35,0,12,8,0,38,87,35,51,21,27,19,0,433,26.46,85.12,0.16,0,8.38,26.95,0
07-10-2018,295867,3196.550099,37,29,20,0,14,9,48,49,81,26,40,20,29,23,26,451,26.28,89.7,0.62,0,4.67,104.7,0
14-10-2018,295834,3426.971255,44,49,27,0,19,12,19,67,79,42,28,0,54,25,19,484,26.34,88.66,0.4,0,6.54,67.65,0
21-10-2018,295870,3288.93594,50,50,12,58,13,10,27,51,83,33,0,0,10,25,0,422,26.4,86.38,0.33,0,4.91,55.35,0
28-10-2018,393457,3321.542707,50,32,25,0,16,10,0,51,73,41,18,36,18,24,0,394,26.8,84.82,0.12,0,4.82,19.7,0
04-11-2018,315293,3157.62515,23,45,19,0,13,11,0,56,61,38,42,34,18,15,0,375,26.69,86.35,0.25,0,5.04,42.15,0
11-11-2018,315188,3146.792817,39,0,18,0,11,8,0,55,62,54,14,52,25,26,19,383,26.49,86.32,0.2,0,4.13,33.45,0
18-11-2018,315191,3170.62395,51,57,29,0,14,10,32,40,36,48,32,44,61,36,0,490,26.41,85.87,0.38,0,6.44,63.5,0
25-11-2018,419133,3161.958083,26,39,20,0,15,10,0,54,53,35,54,48,18,33,0,405,26.58,87.68,0.19,0,4.52,31.9,0
02-12-2018,378836,3675.309527,35,83,64,49,13,13,27,50,59,42,28,61,54,32,0,610,26.99,81.85,0.1,0,5.26,16.35,0
09-12-2018,378638,3537.823722,42,66,24,0,19,12,59,49,78,30,67,49,17,74,40,626,26.94,84.51,0.12,0,4.69,20.1,0
16-12-2018,378748,3688.300312,45,67,53,0,18,13,58,85,73,36,57,37,73,37,27,679,26.5,84.39,0.02,0,4.97,3.3,0
23-12-2018,503756,3665.566439,45,79,20,0,21,13,55,70,68,32,63,26,77,38,0,607,26.5,82.06,0.11,0,5.77,17.85,0
06-01-2019,349961,2433.250787,40,51,36,0,16,10,37,60,72,35,34,33,35,28,39,526,25.2,71.72,0,0,6.88,0,0
13-01-2019,350054,2431.084045,37,31,39,0,14,7,32,34,32,38,33,73,40,32,0,442,25.78,72.29,0,0,6.7,0,0
20-01-2019,349991,2376.915506,42,49,22,0,19,12,25,50,46,41,41,19,25,29,0,420,26.15,71.66,0,0,6.84,0,0
27-01-2019,465545,2400.749663,54,31,0,0,9,6,41,25,29,25,42,0,62,30,0,354,26.21,74.14,0,0,6.51,0.5,0
03-02-2019,308476,1986.472027,36,79,32,0,16,9,41,31,56,14,31,0,30,29,37,441,27.35,71.46,0,0,7.04,0.6,0
10-02-2019,308491,2052.545667,45,23,19,0,12,12,24,37,40,41,44,19,35,31,21,403,27.61,77.51,0.07,0,5.64,12,0
17-02-2019,308440,2134.604866,43,32,39,0,14,8,0,40,28,27,42,0,44,26,0,343,28.28,72.65,0,0,7.08,0.35,0
24-02-2019,410258,2017.37744,49,100,36,0,12,9,0,36,44,28,23,18,28,30,0,413,28.37,70.53,0,0,7.55,0.75,0
03-03-2019,309306,3052.165573,37,39,40,0,15,11,30,38,37,22,33,0,36,24,19,381,28.36,74.11,0.03,0,8.28,4.25,0
10-03-2019,309242,3217.089607,39,31,45,0,11,9,79,25,35,0,28,0,100,29,17,448,28.53,76.31,0.02,0,7.9,3.2,0
17-03-2019,309175,3152.83349,49,0,17,0,15,8,0,43,39,32,20,23,19,32,0,297,28.7,72.99,0,0,6.57,0.65,0
24-03-2019,411529,3138.911331,33,31,23,0,8,2,0,45,37,54,33,17,30,23,0,336,28.96,75.35,0.02,0,5.8,2.65,0
07-04-2019,372563,3345.639647,41,34,33,0,13,10,48,71,43,58,21,0,48,21,18,459,29.23,75.49,0.04,0,7.54,6.2,0
14-04-2019,372617,3347.803709,57,39,22,43,21,13,62,79,94,30,41,0,63,33,0,597,29.56,77.5,0.05,0,6.69,8,0
21-04-2019,372597,3317.506843,43,69,36,0,15,12,0,85,44,64,65,29,18,28,0,508,28.28,82.5,0.51,0,6.3,85.4,0
28-04-2019,495480,3351.049802,55,42,48,0,23,16,0,89,87,59,42,26,21,26,0,534,28.91,83.07,0.14,0,6.27,23.15,0
05-05-2019,420111,3456.309586,50,31,10,32,16,8,24,71,76,48,53,42,39,30,0,530,28.29,82.19,0.16,0,9.71,26.5,0
12-05-2019,420035,3580.443128,38,49,38,0,9,7,0,69,69,34,34,35,34,19,26,461,28.76,79.47,0.12,0,10.17,19.9,0
19-05-2019,420051,3568.569485,50,69,58,45,20,11,0,62,68,63,35,0,47,29,0,557,28.59,82.35,0.14,0,8.69,22.85,0
26-05-2019,558789,3515.677802,55,73,54,40,13,10,0,54,53,43,38,0,71,31,0,535,28.3,84.86,0.25,0,6.41,42.7,0
02-06-2019,309783,3193.503725,60,28,0,97,17,10,22,55,62,36,31,79,52,29,20,598,28.17,85.43,0.37,0,8.44,61.6,0
09-06-2019,309776,3305.897765,55,41,17,0,13,8,16,37,44,28,45,47,56,31,0,438,27.3,87.61,0.61,0,9.34,102.95,0
16-06-2019,309869,3342.64197,49,53,25,0,11,6,0,32,44,22,12,77,75,24,0,430,27.03,88.81,0.66,0,11.53,110.55,0
23-06-2019,412068,3212.95654,40,80,78,0,19,10,23,60,65,51,41,52,38,28,57,642,26.69,89.34,0.53,0,12.72,88.65,0
07-07-2019,330455,3632.96625,50,39,15,0,15,9,44,69,59,48,38,0,54,25,0,465,26.95,89.11,0.29,0,8.61,48.65,0
14-07-2019,330353,3572.072473,51,23,13,0,14,11,0,42,35,40,29,52,62,31,0,403,26.53,87.16,0.4,0,8.64,66.7,0
21-07-2019,330277,3610.131083,60,14,9,39,15,10,72,33,66,65,33,51,63,38,100,668,25.41,91.1,1.47,0,14.41,246.8,0
28-07-2019,439423,3618.830194,43,44,29,93,15,9,54,46,72,39,20,51,51,22,0,588,25.85,87.57,0.25,0,10.24,41.75,0
04-08-2019,305114,3364.187261,58,68,49,61,54,80,45,61,60,12,53,72,55,52,0,780,26.92,86.74,0.15,0,7.78,25.1,0
11-08-2019,305058,3495.203244,45,60,47,30,32,47,0,49,42,35,81,30,37,29,0,564,25.32,92.84,0.99,0,10.6,165.8,0
18-08-2019,305050,3339.283397,44,46,12,51,15,9,0,46,43,26,40,0,72,28,20,452,25.79,90.17,0.8,0,12.09,135.1,0
25-08-2019,405953,3418.326097,40,49,21,0,14,11,0,48,54,46,46,61,66,28,30,514,25.62,90.46,0.71,0,8.02,119,0
01-09-2019,339127,4007.639326,36,49,20,0,9,9,0,54,52,55,27,43,16,20,0,390,25.86,89.62,0.91,0,10.53,152.85,0
08-09-2019,339122,4031.391499,42,53,42,0,12,13,29,61,93,29,44,0,36,27,0,481,26.21,89.75,0.35,0,10.41,58.6,0
15-09-2019,339086,3912.630636,53,49,0,0,15,7,44,71,49,28,42,44,54,29,27,512,26.49,87.68,0.25,0,9.58,42,0
22-09-2019,451002,3949.338539,45,36,0,0,14,9,40,46,67,38,38,37,81,29,0,480,26.49,88.45,0.4,0,7.41,67.85,0
06-10-2019,368112,4111.394277,46,33,0,0,13,7,15,43,56,38,38,25,62,30,0,406,26.66,86.44,0.25,0,4.97,42.05,0
13-10-2019,368193,4209.670316,45,55,51,0,13,8,26,32,61,37,39,0,35,24,0,426,26.52,86.99,0.23,0,5.09,38.5,0
20-10-2019,368142,4318.745919,46,19,13,0,18,15,0,49,51,20,12,32,37,30,0,342,26.2,89.22,0.75,0,5.4,126.5,0
27-10-2019,489646,4230.189489,45,43,22,37,15,9,0,54,68,26,35,34,37,27,0,452,25.79,87.41,0.56,0,7.02,94.25,0
